city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
ananindeua,88,18075.24,3161.61,85,12,-12.434058142701526,86,3.9767441860465116,13.0,14.117647058823529,15.11627906976744,0.1749138600649286
anapolis,113,17179.78,2917.73,111,9,-9.31596450617284,113,4.079646017699115,16.0,8.108108108108109,14.15929203539823,0.16983512012377341
anastacio,2,116.9,36.45,2,0,-13.692505787037037,2,5.0,0.0,0.0,0.0,0.3118049615055603
anaurilandia,1,69.99,16.25,1,0,-27.141284722222224,1,5.0,0.0,0.0,0.0,0.2321760251464495
anchieta,17,2286.5,458.88,17,1,-12.7243852124183,17,4.411764705882353,2.0,5.88235294117647,11.76470588235294,0.20069101246446533
andarai,1,79.9,29.6,1,0,-17.97792824074074,1,5.0,0.0,0.0,0.0,0.37046307884856067
andira,11,1462.18,226.41000000000003,11,0,-11.667596801346802,11,4.0,2.0,0.0,18.181818181818183,0.15484413683677797
andorinha,5,691.1,106.51,5,0,-7.4115671296296295,5,4.4,0.0,0.0,0.0,0.154116625669223
andradas,12,4070.31,525.66,12,1,-16.034721257716047,12,3.9166666666666665,3.0,8.333333333333332,25.0,0.12914495456120048
andradina,43,6794.42,857.52,40,0,-12.645485243055555,43,4.0,7.0,0.0,16.27906976744186,0.1262094483414331
andre da rocha,1,119.0,27.13,1,0,-10.181504629629629,1,5.0,0.0,0.0,0.0,0.22798319327731092
andrelandia,3,119.36,49.71,3,1,-10.567260802469136,3,4.0,1.0,33.33333333333333,33.33333333333333,0.4164711796246649
andrequice,1,199.0,16.14,1,0,-10.347685185185185,1,5.0,0.0,0.0,0.0,0.08110552763819096
angatuba,8,818.75,164.28,8,1,-12.331931423611111,8,4.5,1.0,12.5,12.5,0.2006473282442748
angelica,1,53.9,22.96,1,0,-6.091180555555556,1,5.0,0.0,0.0,0.0,0.425974025974026
angelina,1,126.99,15.06,1,0,-12.571574074074075,1,4.0,0.0,0.0,0.0,0.11859201511930074
angelo frechiani,1,25.32,18.28,1,0,-10.190648148148147,1,5.0,0.0,0.0,0.0,0.721958925750395
angical,1,269.9,23.6,1,0,-0.4745138888888889,1,2.0,1.0,0.0,100.0,0.08743979251574659
angical do piaui,1,29.99,50.93,1,0,-7.234120370370371,1,4.0,0.0,0.0,0.0,1.6982327442480827
angicos,1,65.99,35.78,1,0,-11.201597222222222,1,4.0,0.0,0.0,0.0,0.5422033641460828
angra dos reis,85,18893.04,2761.69,83,14,-9.407924196787148,83,3.9156626506024095,16.0,16.867469879518072,19.27710843373494,0.14617499354259558
anguera,1,99.0,45.99,1,0,-15.435439814814815,1,5.0,0.0,0.0,0.0,0.46454545454545454
